CLASS,AGE,SEX,SURVIVED
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Hombre,Muere
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Sobrevive
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Adulto,Mujer,Muere
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Sobrevive
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Hombre,Muere
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Sobrevive
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
3aa,Niño,Mujer,Muere
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
crew,Adulto,Hombre,Sobrevive
